13	1	12	0	
13	1	12	0	
26	2	24	0	
27	3	24	0	
40	4	36	0	
41	5	36	0	
46	6	40	0	
59	7	52	0	
60	8	52	0	
61	9	52	0	
66	10	56	0	
79	11	68	0	
80	12	68	0	
81	13	68	0	
82	14	68	0	
83	15	68	0	
96	16	80	0	
97	17	80	0	
98	18	80	0	
99	19	80	0	
104	20	84	0	
117	21	96	0	
130	22	108	0	
131	23	108	0	
132	24	108	0	
133	25	108	0	
134	26	108	0	
135	27	108	0	
136	28	108	0	
149	29	120	0	
150	30	120	0	
151	31	120	0	
152	32	120	0	
153	33	120	0	
154	34	120	0	
155	35	120	0	
156	36	120	0	
169	37	132	0	
170	38	132	0	
171	39	132	0	
172	40	132	0	
173	41	132	0	
174	42	132	0	
175	43	132	0	
176	44	132	0	
177	45	132	0	
