8,17::[MeetsXY, PrecedesXY]
15,25::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,18::[PrecedesXY]
15,24::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,15::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ContainsXY, IsStartedXY, IsFinishedXY]
15,23::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
7,8::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,16::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,22::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
7,9::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,29::[PrecedesXY]
15,28::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,19::[IsMetXY, OverlapsXY, StartsXY, FinishXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,27::[IsMetXY, OverlapsXY, StartsXY, FinishXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,26::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,10::[MeetsXY, PrecedesXY]
8,13::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,21::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,14::[PrecedesXY]
15,20::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ExactXY]
8,11::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,12::[MeetsXY, PrecedesXY]
8,28::[PrecedesXY]
8,29::[PrecedesXY]
8,26::[PrecedesXY]
8,27::[PrecedesXY]
8,20::[PrecedesXY]
8,21::[PrecedesXY]
8,24::[PrecedesXY]
8,25::[PrecedesXY]
8,22::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
8,23::[PrecedesXY]
6,7::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
6,8::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
6,9::[IsMetXY, OverlapsXY, StartsXY, FinishXY, DuringXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY]
9,18::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ContainsXY, IsStartedXY, IsFinishedXY]
9,19::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ContainsXY, IsStartedXY, IsFinishedXY]
9,16::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ContainsXY, IsStartedXY, IsFinishedXY]
9,17::[IsMetXY, OverlapsXY, IsOverlappedXY, MeetsXY, IsPrecededXY, PrecedesXY, ContainsXY, IsStartedXY, IsFinishedXY]
15,18::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,17::[IsMetXY, MeetsXY, IsPrecededXY, PrecedesXY]
15,16::[MeetsXY, PrecedesXY]
